Phase,Mean_Atomic_Radius,Atomic_Size_Diff,Avg_Tm,Std_Dev_Tm,H_mix,Std_Dev_H_mix,S_mix,EN,Std_Dev_EN,VEC,Std_Dev_VEC,Mean_Bulk_Mod,Std_Dev_Bulk_Mod
BCC_SS,0.4854002831,-0.4003925483,0.390217344,-0.321717907,0.1438225681,-0.1630036308,0.5706728191,0.004364336907,0.5097933012,-0.4372332689,-0.7420827333,0.05075325321,-0.1560513857
BCC_SS,0.5484659066,-0.4295172428,0.433559955,-0.3020867307,0.3520395022,-0.3360551588,0.4626420041,0.103314648,0.6642643495,-0.4285737677,-0.7046154977,0.06284606752,-0.07786734553
BCC_SS,0.3405913702,-0.8507323166,0.9417236748,-0.3696217279,0.1793775363,0.08733174391,0.4768160215,0.7374447911,0.9006038016,-0.2684913701,-0.8379490136,0.9211777765,0.6954122165
BCC_SS,0.3563170892,-0.8318435834,0.8899224887,-0.2656791169,0.1619684575,0.04293329555,0.5427748523,0.6684479216,0.8920605741,-0.2928269395,-0.8019939955,0.8511135696,0.6981841843
BCC_SS,0.3703874988,-0.8186914059,0.8435740688,-0.1864386501,0.1518117298,0.007026654338,0.5709420068,0.6067139066,0.8796997541,-0.3146008636,-0.7765479983,0.7884245521,0.6956955514
BCC_SS,0.3830508456,-0.8092236858,0.8018604841,-0.1237853016,0.1470471846,-0.0226623683,0.5782986501,0.5511532744,0.8646945763,-0.3341973999,-0.7580261754,0.7320044297,0.6894274535
BCC_SS,0.24087591,-0.7571008714,0.6922262707,-0.3942761122,0.2317032432,-0.4644016656,0.2986323766,0.1552838172,0.3218973799,-0.3186834767,-0.9277918189,0.3410852713,-0.305902334
BCC_SS,0.3228999113,-0.8798378869,1,-0.5160152224,0.2066055492,0.1438082282,0.2986323766,0.8150662458,0.903646572,-0.2411138604,-0.8917262793,1,0.6852479014
BCC_SS,0.3228999113,-0.8798378869,1,-0.5160152224,0.2066055492,0.1438082282,0.2986323766,0.8150662458,0.903646572,-0.2411138604,-0.8917262793,1,0.6852479014
BCC_SS,0.3228999113,-0.8798378869,1,-0.5160152224,0.2066055492,0.1438082282,0.2986323766,0.8150662458,0.903646572,-0.2411138604,-0.8917262793,1,0.6852479014
BCC_SS,0.3228999113,-0.8798378869,1,-0.5160152224,0.2066055492,0.1438082282,0.2986323766,0.8150662458,0.903646572,-0.2411138604,-0.8917262793,1,0.6852479014
BCC_SS,0.3228999113,-0.8798378869,1,-0.5160152224,0.2066055492,0.1438082282,0.2986323766,0.8150662458,0.903646572,-0.2411138604,-0.8917262793,1,0.6852479014
BCC_SS,0.3228999113,-0.8798378869,1,-0.5160152224,0.2066055492,0.1438082282,0.2986323766,0.8150662458,0.903646572,-0.2411138604,-0.8917262793,1,0.6852479014
BCC_SS,0.3228999113,-0.8798378869,1,-0.5160152224,0.2066055492,0.1438082282,0.2986323766,0.8150662458,0.903646572,-0.2411138604,-0.8917262793,1,0.6852479014
BCC_SS,0.3228999113,-0.8798378869,1,-0.5160152224,0.2066055492,0.1438082282,0.2986323766,0.8150662458,0.903646572,-0.2411138604,-0.8917262793,1,0.6852479014
BCC_SS,0.2955585776,-0.674797755,0.4176318521,-0.3104028271,0.2314471443,-0.4456529587,0.2986323766,0.1914362791,0.2771285531,-0.3962530929,-0.7802212922,0.130675526,-0.2164367108
