Phase,Mean_Atomic_Radius,Atomic_Size_Diff,Avg_Tm,Std_Dev_Tm,H_mix,Std_Dev_H_mix,S_mix,EN,Std_Dev_EN,VEC,Std_Dev_VEC,Mean_Bulk_Mod,Std_Dev_Bulk_Mod
BCC_SS,0.8287145857,-0.5181652586,0.3245058725,-0.1497323823,0.6093210992,-0.4099464074,0.4338395773,-0.793718306,-0.4721294239,-0.6289619417,-0.9277918189,-0.2901439646,-0.5562285954
BCC_SS,0.9414975875,-0.5350105997,0.2804364199,-0.1754232705,0.8517507383,-0.6735458656,0.1968667691,-0.9225114513,-0.4986839359,-0.6677467499,-0.9828661503,-0.3005260244,-0.5480113031
BCC_SS,0.9414975875,-0.5350105997,0.2804364199,-0.1754232705,0.8517507383,-0.6735458656,0.1968667691,-0.9225114513,-0.4986839359,-0.6677467499,-0.9828661503,-0.3005260244,-0.5480113031
BCC_SS,0.9414975875,-0.5350105997,0.2804364199,-0.1754232705,0.8517507383,-0.6735458656,0.1968667691,-0.9225114513,-0.4986839359,-0.6677467499,-0.9828661503,-0.3005260244,-0.5480113031
BCC_SS,0.9414975875,-0.5350105997,0.2804364199,-0.1754232705,0.8517507383,-0.6735458656,0.1968667691,-0.9225114513,-0.4986839359,-0.6677467499,-0.9828661503,-0.3005260244,-0.5480113031
BCC_SS,0.9414975875,-0.5350105997,0.2804364199,-0.1754232705,0.8517507383,-0.6735458656,0.1968667691,-0.9225114513,-0.4986839359,-0.6677467499,-0.9828661503,-0.3005260244,-0.5480113031
BCC_SS,0.9414975875,-0.5350105997,0.2804364199,-0.1754232705,0.8517507383,-0.6735458656,0.1968667691,-0.9225114513,-0.4986839359,-0.6677467499,-0.9828661503,-0.3005260244,-0.5480113031
BCC_SS,0.9414975875,-0.5350105997,0.2804364199,-0.1754232705,0.8517507383,-0.6735458656,0.1968667691,-0.9225114513,-0.4986839359,-0.6677467499,-0.9828661503,-0.3005260244,-0.5480113031
BCC_SS,0.9414975875,-0.5350105997,0.2804364199,-0.1754232705,0.8517507383,-0.6735458656,0.1968667691,-0.9225114513,-0.4986839359,-0.6677467499,-0.9828661503,-0.3005260244,-0.5480113031
BCC_SS,0.9414975875,-0.5350105997,0.2804364199,-0.1754232705,0.8517507383,-0.6735458656,0.1968667691,-0.9225114513,-0.4986839359,-0.6677467499,-0.9828661503,-0.3005260244,-0.5480113031
BCC_SS,0.9414975875,-0.5350105997,0.2804364199,-0.1754232705,0.8517507383,-0.6735458656,0.1968667691,-0.9225114513,-0.4986839359,-0.6677467499,-0.9828661503,-0.3005260244,-0.5480113031
BCC_SS,0.9414975875,-0.5350105997,0.2804364199,-0.1754232705,0.8517507383,-0.6735458656,0.1968667691,-0.9225114513,-0.4986839359,-0.6677467499,-0.9828661503,-0.3005260244,-0.5480113031
BCC_SS,0.9414975875,-0.5350105997,0.2804364199,-0.1754232705,0.8517507383,-0.6735458656,0.1968667691,-0.9225114513,-0.4986839359,-0.6677467499,-0.9828661503,-0.3005260244,-0.5480113031
BCC_SS,0.9414975875,-0.5350105997,0.2804364199,-0.1754232705,0.8517507383,-0.6735458656,0.1968667691,-0.9225114513,-0.4986839359,-0.6677467499,-0.9828661503,-0.3005260244,-0.5480113031
BCC_SS,0.9414975875,-0.5350105997,0.2804364199,-0.1754232705,0.8517507383,-0.6735458656,0.1968667691,-0.9225114513,-0.4986839359,-0.6677467499,-0.9828661503,-0.3005260244,-0.5480113031
BCC_SS,0.9414975875,-0.5350105997,0.2804364199,-0.1754232705,0.8517507383,-0.6735458656,0.1968667691,-0.9225114513,-0.4986839359,-0.6677467499,-0.9828661503,-0.3005260244,-0.5480113031
BCC_SS,0.9414975875,-0.5350105997,0.2804364199,-0.1754232705,0.8517507383,-0.6735458656,0.1968667691,-0.9225114513,-0.4986839359,-0.6677467499,-0.9828661503,-0.3005260244,-0.5480113031
BCC_SS,0.9414975875,-0.5350105997,0.2804364199,-0.1754232705,0.8517507383,-0.6735458656,0.1968667691,-0.9225114513,-0.4986839359,-0.6677467499,-0.9828661503,-0.3005260244,-0.5480113031
BCC_SS,0.9414975875,-0.5350105997,0.2804364199,-0.1754232705,0.8517507383,-0.6735458656,0.1968667691,-0.9225114513,-0.4986839359,-0.6677467499,-0.9828661503,-0.3005260244,-0.5480113031
BCC_SS,0.9414975875,-0.5350105997,0.2804364199,-0.1754232705,0.8517507383,-0.6735458656,0.1968667691,-0.9225114513,-0.4986839359,-0.6677467499,-0.9828661503,-0.3005260244,-0.5480113031
BCC_SS,0.9414975875,-0.5350105997,0.2804364199,-0.1754232705,0.8517507383,-0.6735458656,0.1968667691,-0.9225114513,-0.4986839359,-0.6677467499,-0.9828661503,-0.3005260244,-0.5480113031
BCC_SS,0.9414975875,-0.5350105997,0.2804364199,-0.1754232705,0.8517507383,-0.6735458656,0.1968667691,-0.9225114513,-0.4986839359,-0.6677467499,-0.9828661503,-0.3005260244,-0.5480113031
BCC_SS,0.9777248547,-0.5481309558,0.2655362632,-0.3388314982,0.761674346,-0.5517983372,0.2870492455,-0.9482700804,-0.4556137021,-0.6755037115,-0.9994050202,-0.3568660022,-0.6903116632
BCC_SS,0.7798907588,-0.4673871513,0.4976382843,-0.1971356809,0.5642067493,-0.3495451439,0.7221829666,-0.6938686591,-0.04716548115,-0.5587799105,-0.8448391609,-0.160681329,-0.3707719781
BCC_SS,0.7529045321,-0.4553210765,0.5107855912,-0.211445904,0.5416802944,-0.3614111226,0.7767258954,-0.5833767044,0.18563551,-0.5372887575,-0.8079765664,-0.1084264558,-0.2970626655
BCC_SS,0.5963132488,-0.432497337,0.4108127913,-0.3925272258,0.2950237009,-0.4586290271,0.5158130746,-0.3463315908,0.282378356,-0.5126075173,-0.7862169715,-0.1074197121,-0.3504261673
BCC_SS,0.5963132488,-0.432497337,0.4108127913,-0.3925272258,0.2950237009,-0.4586290271,0.5158130746,-0.3463315908,0.282378356,-0.5126075173,-0.7862169715,-0.1074197121,-0.3504261673
BCC_SS,0.5963132488,-0.432497337,0.4108127913,-0.3925272258,0.2950237009,-0.4586290271,0.5158130746,-0.3463315908,0.282378356,-0.5126075173,-0.7862169715,-0.1074197121,-0.3504261673
BCC_SS,0.7282648863,-0.4462202419,0.5227896424,-0.2253209726,0.5240452434,-0.3719091712,0.8004911708,-0.4824927745,0.3489677857,-0.5176664079,-0.780581294,-0.06071549164,-0.2422987433
BCC_SS,0.7658295181,-0.419089511,0.4190160197,-0.3704298159,0.4900968085,-0.5341221593,0.5782986501,-0.3381972869,0.6080689603,-0.520364479,-0.7302081681,-0.1207087486,-0.2022605375
BCC_SS,0.7658295181,-0.419089511,0.4190160197,-0.3704298159,0.4900968085,-0.5341221593,0.5782986501,-0.3381972869,0.6080689603,-0.520364479,-0.7302081681,-0.1207087486,-0.2022605375
BCC_SS,0.7658295181,-0.419089511,0.4190160197,-0.3704298159,0.4900968085,-0.5341221593,0.5782986501,-0.3381972869,0.6080689603,-0.520364479,-0.7302081681,-0.1207087486,-0.2022605375
